county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,percent_dem,dem or gop,Unnamed: 0,TOT_POP,PERC_MALE,PERC_SENIOR_MALE,PERC_SENIOR_FEMALE,PERC_WHITE_MALE,PERC_WHITE_FEMALE,PERC_BLACK_MALE,PERC_BLACK_FEMALE,PERC_ASIAN_MALE,PERC_ASIAN_FEMALE,PERC_HISPANIC_MALE,PERC_HISPANIC_FEMALE,PERC_OTHER_MALE,PERC_OTHER_FEMALE,Median AQI
Autauga,Alabama,1001.0,1015,21,0.053,0.07400000000000001,0.134,0.295,0.444,23.956854953164918,republican,0,55869,0.4849200809035422,0.07003884085986863,0.08969195797311569,0.3736956093719236,0.3889276700853783,0.09373713508385688,0.1073940825860495,0.09373713508385688,0.1073940825860495,0.01582272816767796,0.014086523832536828,0.012368218511160036,0.012135531332223594,unknown
Baldwin,Alabama,1003.0,3101,22,0.083,0.059000000000000004,0.098,0.32299999999999995,0.436,19.565309809756613,republican,1,223234,0.4849037333022748,0.09732836395889513,0.11245150828278846,0.42471128949891146,0.4496985226264816,0.042493526971697865,0.045275361280091735,0.042493526971697865,0.045275361280091735,0.02483940618364586,0.02234874615873926,0.013523925566893932,0.013635915675927502,20.0
Barbour,Alabama,1005.0,598,5,0.067,0.121,0.12,0.201,0.491,46.66025024061597,republican,2,24686,0.5292068378838208,0.08494693348456615,0.11196629668638096,0.2588106619136353,0.23272300089119335,0.2556509762618488,0.22664668233006566,0.2556509762618488,0.22664668233006566,0.02548002916632909,0.019768289718868997,0.012517216235923195,0.008952442680061573,unknown
Bibb,Alabama,1007.0,363,2,0.02,0.034,0.096,0.278,0.5720000000000001,21.422039323273893,republican,3,22394,0.5326873269625793,0.07443958203090112,0.09225685451460212,0.3914441368223631,0.37621684379744574,0.13132982048763062,0.08136107886040904,0.13132982048763062,0.08136107886040904,0.015316602661427169,0.012503349111369116,0.008886308832723051,0.008618379923193713,unknown
Blount,Alabama,1009.0,767,3,0.053,0.114,0.18,0.19399999999999998,0.45899999999999996,8.469902300661834,republican,4,57826,0.492373672742365,0.0847888493065403,0.10222045446684884,0.4713796562100093,0.4868744163525058,0.008923321689205548,0.007989485698474734,0.008923321689205548,0.007989485698474734,0.05101511430844257,0.04551585791858333,0.01060076782070349,0.01103309929789368,unknown
Bullock,Alabama,1011.0,437,12,0.031,0.04,0.14400000000000002,0.28600000000000003,0.5,75.09040629653265,democrat,5,10101,0.5452925452925453,0.07484407484407485,0.09454509454509456,0.16127116127116128,0.10494010494010493,0.3675873675873676,0.33501633501633504,0.3675873675873676,0.33501633501633504,0.04445104445104445,0.04108504108504109,0.015543015543015544,0.013563013563013563,unknown
Butler,Alabama,1013.0,753,36,0.102,0.053,0.257,0.13699999999999998,0.451,42.78641335636154,republican,6,19448,0.4640065816536405,0.08376182640888523,0.1244343891402715,0.2483031674208145,0.2724187577128754,0.1997634718222953,0.25,0.1997634718222953,0.25,0.007867132867132868,0.006993006993006993,0.00730152200740436,0.007867132867132868,unknown
Calhoun,Alabama,1015.0,1450,9,0.152,0.10800000000000001,0.13,0.16699999999999998,0.442,27.855876393110435,republican,7,113605,0.4795651599841556,0.07711808459134721,0.10374543373971216,0.3639100391708112,0.3871308481140795,0.09876325865939001,0.11436996611064655,0.09876325865939001,0.11436996611064655,0.020756128691518855,0.01985828088552441,0.01336208793627041,0.013450112230975749,unknown
Chambers,Alabama,1017.0,859,38,0.11699999999999999,0.037000000000000005,0.15,0.136,0.56,41.82755116852954,republican,8,33254,0.477987610513021,0.08612497744632225,0.11580561736933905,0.27536536957959945,0.2950923197209358,0.18707523906898416,0.2148312984904072,0.18707523906898416,0.2148312984904072,0.014193781199254225,0.011998556564623805,0.008329824983460637,0.00805918085042401,unknown
Cherokee,Alabama,1019.0,238,8,0.135,0.027000000000000003,0.161,0.158,0.52,14.510139960011426,republican,9,26196,0.4934341120781799,0.11005497022446176,0.1252481294854176,0.4593449381584975,0.4724385402351504,0.02130096197892808,0.01965948999847305,0.02130096197892808,0.01965948999847305,0.008741792640097725,0.008398228737211789,0.011375782562223241,0.011948389067033134,unknown
Chilton,Alabama,1021.0,699,6,0.06,0.07,0.057999999999999996,0.19399999999999998,0.618,15.935360175294441,republican,10,44428,0.4906815521743045,0.07783379850544701,0.09322949491311787,0.4268704420635635,0.4436841631403619,0.05057621319888359,0.05287206266318538,0.05057621319888359,0.05287206266318538,0.04479157288196633,0.03704870802196813,0.011276672368776448,0.009836139371567479,unknown
Choctaw,Alabama,1023.0,276,12,0.049,0.038,0.126,0.21899999999999997,0.568,42.77655476059439,republican,11,12589,0.4716816268170625,0.10183493526094207,0.13400587814758916,0.27794105965525456,0.29327190404321235,0.18825959170704584,0.22916832155056,0.18825959170704584,0.22916832155056,0.004368893478433553,0.005798713162284534,0.004924934466597824,0.004448327905314163,unknown
Clarke,Alabama,1025.0,492,9,0.049,0.08800000000000001,0.16399999999999998,0.268,0.43,44.15584415584416,republican,12,23622,0.4721446109558886,0.08949284565235797,0.11552789772246212,0.2564135128270257,0.2735162136990941,0.206502413004826,0.24371348742697485,0.206502413004826,0.24371348742697485,0.006858013716027432,0.006265345864025061,0.007281347896029125,0.00821268309203285,unknown
Clay,Alabama,1027.0,198,5,0.14800000000000002,0.158,0.195,0.16899999999999998,0.32899999999999996,18.776628119293974,republican,13,13235,0.4871174914998111,0.09361541367585946,0.11681148469966,0.40800906686815264,0.4242538723082735,0.06550812240272005,0.07230827351718927,0.06550812240272005,0.07230827351718927,0.017453721193804308,0.015413675859463544,0.012164714771439366,0.01488477521722705,15.0
